GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kibou-registry,com.algomart.kibouregistry.util,GenericSpecification,81,14,7,0,12,5,6,2,1,2
kibou-registry,com.algomart.kibouregistry.models,PaymentRequest,146,21,30,0,1,4,22,4,7,4
kibou-registry,com.algomart.kibouregistry.models,PaymentResponse,115,95,26,12,0,6,24,8,6,7
kibou-registry,com.algomart.kibouregistry.models,SearchCriteria,154,12,30,0,4,5,25,1,10,1
kibou-registry,com.algomart.kibouregistry,KibouRegistryApplication,5,3,0,0,2,1,1,1,1,1
kibou-registry,com.algomart.kibouregistry.services.impl,ParticipantsServiceImpl,14,251,8,20,8,85,8,12,0,6
kibou-registry,com.algomart.kibouregistry.services.impl,AttendanceReportServiceImpl,0,115,0,0,0,27,0,6,0,6
kibou-registry,com.algomart.kibouregistry.services.impl,AttendanceServiceImpl,27,182,1,13,14,66,1,12,0,6
kibou-registry,com.algomart.kibouregistry.services.impl,DailyPaymentServiceImpl,5,142,3,3,2,34,4,9,1,9
kibou-registry,com.algomart.kibouregistry.exceptions,GlobalExceptionHandler,14,3,0,0,2,1,2,1,2,1
kibou-registry,com.algomart.kibouregistry.exceptions,PaymentNotFoundException,0,5,0,0,0,2,0,1,0,1
kibou-registry,com.algomart.kibouregistry.exceptions,ResourceNotFoundException,0,3,0,0,0,1,0,1,0,1
kibou-registry,com.algomart.kibouregistry.entity.response,APIResponse.APIResponseBuilder,9,28,0,0,0,1,1,5,1,5
kibou-registry,com.algomart.kibouregistry.entity.response,APIResponse,15,25,0,0,2,9,4,5,4,5
kibou-registry,com.algomart.kibouregistry.controller,ParticipantsController,66,63,0,0,10,11,0,6,0,6
kibou-registry,com.algomart.kibouregistry.controller,AttendanceController,27,179,0,10,4,33,0,11,0,6
kibou-registry,com.algomart.kibouregistry.controller,DailyPaymentController,0,58,0,0,0,13,0,6,0,6
kibou-registry,com.algomart.kibouregistry.controller,AttendanceReportController,0,15,0,0,0,3,0,2,0,2
kibou-registry,com.algomart.kibouregistry.enums,Category,0,21,0,0,0,4,0,1,0,1
kibou-registry,com.algomart.kibouregistry.enums,NotificationStatus,0,15,0,0,0,3,0,1,0,1
kibou-registry,com.algomart.kibouregistry.enums,EventType,0,15,0,0,0,3,0,1,0,1
kibou-registry,com.algomart.kibouregistry.enums,AttendanceStatus,0,15,0,0,0,3,0,1,0,1
kibou-registry,com.algomart.kibouregistry.enums,SearchOperation,0,27,0,0,0,5,0,1,0,1
kibou-registry,com.algomart.kibouregistry.enums,NotificationType,0,15,0,0,0,3,0,1,0,1
kibou-registry,com.algomart.kibouregistry.entity,Payments,33,3,0,0,5,1,7,1,7,1
kibou-registry,com.algomart.kibouregistry.entity,ContactInfo,36,10,0,0,4,3,7,3,7,3
kibou-registry,com.algomart.kibouregistry.entity,Events,303,17,62,0,5,3,45,5,14,5
kibou-registry,com.algomart.kibouregistry.entity,Attendance,3,43,0,0,1,6,1,9,1,9
kibou-registry,com.algomart.kibouregistry.entity,DailyPayments,4,42,0,0,0,7,1,9,1,9
kibou-registry,com.algomart.kibouregistry.entity,Notifications,63,3,0,0,8,1,13,1,13,1
kibou-registry,com.algomart.kibouregistry.entity,Participants,38,44,0,0,3,10,5,12,5,12
